layer1node1,layer1node2,layer1node3,layer2node1
-0.017488899,-0.04783117,0.06189474,1.7610853
-0.06300652,0.0,0.014742055,-1.4075637
-0.025474217,-0.028625887,0.0,1.444533
-0.022929888,0.048962817,-0.08723099,
0.0,0.08674845,-0.07219649,
0.017380206,0.07634892,-0.12379083,
0.0,0.0497344,-0.12515427,
0.03559743,0.0,-0.11044293,
0.018319136,0.034084387,-0.10532372,
0.0,-0.026151648,-0.019941757,
0.0,0.0,-0.01949908,
0.086937055,-0.02283182,-0.054850463,
0.04942674,-0.07054047,0.034666,
0.047303077,0.0,0.058596767,
0.04647738,-0.011385223,0.027687969,
0.0,0.02282011,-0.03226968,
0.06418863,0.14313044,0.0,
-0.030239161,0.0908141,-0.015180118,
-0.048681207,0.14627045,0.028330192,
0.0,0.0613151,0.021773696,
0.028832207,0.071352646,0.0,
0.03507195,0.037813477,-0.03044241,
0.05909947,0.010977279,0.04174932,
0.04554058,-0.016204553,0.021391306,
0.04639808,0.0,0.0,
-0.034012478,0.053524468,-0.022715319,
-0.06873739,0.02407879,-0.03992232,
-0.052967366,0.043006416,0.0,
-0.055419173,0.06551123,0.0,
-0.032991104,0.0,0.0,
-0.014612709,-0.050781414,-0.038989797,
0.012451006,-0.024603883,-0.037357006,
0.023257002,-0.034419667,0.051725857,
0.081403375,0.047149297,0.085350685,
-0.05008642,0.054165233,0.022781767,
-0.040378377,0.031159267,0.0,
0.017325489,0.0,0.0,
-0.05255232,-0.02792701,0.0,
-0.05936905,-0.013490399,-0.013765402,
-0.11911485,-0.012753116,-0.056836996,
-0.08892883,0.0,-0.027952159,
-0.046697542,0.03956398,-0.070325725,
-0.038019713,0.0,-0.09074934,
-0.030721974,0.020483326,-0.05956844,
-0.018695233,0.0,0.016776487,
0.0,0.050733972,0.0,
0.049761042,0.061496086,0.02260033,
0.068371326,-0.0102728335,0.04873292,
-0.013724558,-0.049327902,0.021563642,
-0.033471197,0.0,0.017931722,
-0.081797525,0.0,0.0,
-0.09847304,0.0,0.035365302,
-0.03393234,0.0,0.017526185,
0.09265066,0.011283752,-0.0120655345,
0.107233435,0.0,0.0,
0.12954243,-0.03682841,0.015525041,
-0.017886575,-0.06838854,0.036385458,
0.0,-0.03959206,0.0,
0.0,-0.02543678,0.038390487,
0.018289778,0.0,-0.03862381,
-0.0367358,0.09055116,-0.09611305,
-0.012972834,0.082322896,-0.123307124,
0.0,0.09933946,-0.091057576,
0.018222287,0.012074995,-0.09760863,
0.0,0.017767394,-0.09201326,
-0.016239598,0.013096553,-0.050730992,
0.036184307,0.010240618,0.0,
0.08427968,-0.010835443,0.0,
0.047573153,-0.06751,0.02681052,
0.055104617,-0.02677413,0.026942072,
0.0,0.0,0.03457614,
-0.021015078,0.081877135,-0.047981784,
-0.03286069,0.07905375,-0.026356513,
-0.02493873,0.04967677,-0.015996806,
0.0,0.108427346,0.03441105,
-0.030871678,0.05135018,0.0,
0.011687839,0.068305686,0.0,
-0.03207564,0.07259105,-0.041386273,
0.06280633,0.044587117,0.024083873,
0.0,0.0703403,0.037500232,
0.010957148,0.026238881,0.01518222,
-0.023810994,0.05161794,0.07324085,
-0.020779798,0.10955737,-0.047087204,
-0.03819171,0.047034312,-0.03569623,
-0.0364398,-0.020608759,-0.013539852,
-0.036719598,-0.028859677,-0.021293914,
0.047481056,-0.033772245,0.012165446,
0.0,-0.017455248,0.0,
0.083566286,0.0152553795,-0.012357032,
0.057178114,0.0,0.02303746,
-0.054520193,0.057645757,0.033396322,
-0.054636866,0.05076483,0.042434376,
-0.08627936,0.0,0.0,
-0.050997224,0.01275005,-0.020189827,
-0.031450797,-0.03934442,-0.036573187,
